Indicator,Description
Rand per US Dollar,Weighted average of the banks' daily rates at approximately 10:30 am. Weights are based on the banks' foreign exchange transactions.
,
Date,Value
 2021-05-19,14.0385
 2021-05-18,14.0137
 2021-05-17,14.1564
 2021-05-14,14.1485
 2021-05-13,14.0867
 2021-05-12,13.9845
 2021-05-11,14.0095
 2021-05-10,13.9915
 2021-05-07,14.2393
 2021-05-06,14.316
 2021-05-05,14.4652
 2021-05-04,14.4599
 2021-05-03,14.4599
 2021-04-30,14.3799
 2021-04-29,14.1969
 2021-04-28,14.3979
 2021-04-26,14.23
 2021-04-23,14.2938
 2021-04-22,14.2731
 2021-04-21,14.3161
 2021-04-20,14.2599
 2021-04-19,14.1769
 2021-04-16,14.2549
 2021-04-15,14.3448
 2021-04-14,14.5223
 2021-04-13,14.5542
 2021-04-12,14.642
 2021-04-09,14.5894
 2021-04-08,14.4932
 2021-04-07,14.548
 2021-04-06,14.5869
 2021-04-01,14.7241
 2021-03-31,14.8369
 2021-03-30,14.9513
 2021-03-29,15.0189
 2021-03-26,15.0113
 2021-03-25,14.9356
 2021-03-24,14.8397
 2021-03-23,14.7908
 2021-03-19,14.654
 2021-03-18,14.6714
 2021-03-17,14.9236
 2021-03-16,14.8903
 2021-03-15,14.9158
 2021-03-12,14.9757
 2021-03-11,14.9144
 2021-03-10,15.2572
 2021-03-09,15.374
 2021-03-08,15.436
 2021-03-05,15.3047
 2021-03-04,15.0735
 2021-03-03,14.8663
 2021-03-02,15.0343
 2021-03-01,15.0894
 2021-02-26,14.8367
 2021-02-25,14.6259
 2021-02-24,14.5815
 2021-02-23,14.6818
 2021-02-22,14.8032
 2021-02-19,14.5616
 2021-02-18,14.6559
 2021-02-17,14.7137
 2021-02-16,14.4646
 2021-02-15,14.4402
 2021-02-12,14.661
 2021-02-11,14.6967
 2021-02-10,14.6843
 2021-02-09,14.8437
 2021-02-08,14.9038
 2021-02-05,14.9266
 2021-02-04,14.9607
 2021-02-03,14.9348
 2021-02-02,14.9399
 2021-02-01,15.0809
 2021-01-29,15.1903
 2021-01-28,15.3363
 2021-01-27,15.0916
 2021-01-26,15.3233
 2021-01-25,15.1699
 2021-01-22,15.0771
 2021-01-21,14.862
 2021-01-20,14.8821
 2021-01-19,15.085
 2021-01-18,15.2651
 2021-01-15,15.181
 2021-01-14,15.1857
 2021-01-13,15.2618
 2021-01-12,15.4843
 2021-01-11,15.4559
 2021-01-08,15.3661
 2021-01-07,15.069
 2021-01-06,14.9784
 2021-01-05,14.7517
 2021-01-04,14.5626
 2020-12-31,14.6246
 2020-12-30,14.6446
 2020-12-29,14.6334
 2020-12-28,14.5759
 2020-12-24,14.5957
 2020-12-23,14.5893
 2020-12-22,14.6262
 2020-12-21,14.8079
 2020-12-18,14.6437
 2020-12-17,14.7523
 2020-12-15,14.9929
 2020-12-14,15.002
 2020-12-11,15.138
 2020-12-10,14.9509
 2020-12-09,14.958
 2020-12-08,15.1246
 2020-12-07,15.2472
 2020-12-04,15.1937
 2020-12-03,15.3268
 2020-12-02,15.318
 2020-12-01,15.3842
 2020-11-30,15.2823
 2020-11-27,15.1929
 2020-11-26,15.1518
 2020-11-25,15.1329
 2020-11-24,15.325
 2020-11-23,15.3124
 2020-11-20,15.4251
 2020-11-19,15.5312
 2020-11-18,15.3185
 2020-11-17,15.35
 2020-11-16,15.4406
 2020-11-13,15.6216
 2020-11-12,15.671
 2020-11-11,15.6208
 2020-11-10,15.4308
 2020-11-09,15.5849
 2020-11-06,15.7343
 2020-11-05,15.8452
 2020-11-04,16.3127
 2020-11-03,16.0853
 2020-11-02,16.3007
 2020-10-30,16.3246
 2020-10-29,16.4177
 2020-10-28,16.3194
 2020-10-27,16.2141
 2020-10-26,16.3099
 2020-10-23,16.1907
 2020-10-22,16.2736
 2020-10-21,16.4229
 2020-10-20,16.4932
 2020-10-19,16.4799
 2020-10-16,16.5529
 2020-10-15,16.6568
 2020-10-14,16.5103
 2020-10-13,16.5167
 2020-10-12,16.4855
 2020-10-09,16.4729
 2020-10-08,16.6029
 2020-10-07,16.5829
 2020-10-06,16.6567
 2020-10-05,16.4131
 2020-10-02,16.6863
 2020-10-01,16.5929
 2020-09-30,16.9231
 2020-09-29,17.1607
 2020-09-28,17.1782
 2020-09-25,16.8591
 2020-09-23,16.9708
 2020-09-22,16.8537
 2020-09-21,16.5242
 2020-09-18,16.1366
 2020-09-17,16.3537
 2020-09-16,16.3607
 2020-09-15,16.6255
 2020-09-14,16.6146
 2020-09-11,16.7538
 2020-09-10,16.6634
 2020-09-09,16.8338
 2020-09-08,16.8259
 2020-09-07,16.6242
 2020-09-04,16.6546
 2020-09-03,16.7588
 2020-09-02,16.7199
 2020-09-01,16.7129
 2020-08-31,16.6816
 2020-08-28,16.842
 2020-08-27,16.8399
 2020-08-26,16.8118
 2020-08-25,16.8734
 2020-08-24,17.0129
 2020-08-21,17.2937
 2020-08-20,17.3246
 2020-08-19,17.2529
 2020-08-18,17.4446
 2020-08-17,17.4046
 2020-08-14,17.4595
 2020-08-13,17.4791
 2020-08-12,17.4808
 2020-08-11,17.5549
 2020-08-07,17.6467
 2020-08-06,17.5029
 2020-08-05,17.3467
 2020-08-04,17.2558
 2020-08-03,17.2005
 2020-07-31,16.8821
 2020-07-30,16.7816
 2020-07-29,16.4216
 2020-07-28,16.4625
 2020-07-27,16.5496
 2020-07-24,16.7403
 2020-07-23,16.465
 2020-07-22,16.5068
 2020-07-21,16.5935
 2020-07-20,16.7257
 2020-07-17,16.7276
 2020-07-16,16.6835
 2020-07-15,16.616
 2020-07-14,16.8549
 2020-07-13,16.7823
 2020-07-10,16.8708
 2020-07-09,16.8333
 2020-07-08,17.0817
 2020-07-07,17.1183
 2020-07-06,16.9738
 2020-07-03,16.9659
 2020-07-02,16.9107
 2020-07-01,17.2591
 2020-06-30,17.3312
 2020-06-29,17.2867
 2020-06-26,17.2295
 2020-06-25,17.4021
 2020-06-24,17.3211
 2020-06-23,17.2399
